,actvalue,builtvalue,commvalue,entvalue,accvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-04-23 16:00:00,0.07223587223587219,7.248,10.369090909090911,,,,18.024,,,,1.0,0.0,0.0,23.90316665172574,1.0,5.75
2014-04-24 16:00:00,0.05237926136363631,6.879352941176471,33.809749999999994,86.2645,,,7.483666666666667,,,,1.0,0.5,0.5,57.70638460379382,1.0,6.75
2014-04-25 16:00:00,0.0,,,,,,,,,,,0.2,1.0,,1.0,6.8
2014-04-26 16:00:00,0.23660714285714288,4.270909090909092,24.372999999999998,,,5.046,,,,,1.0,0.6,,31.82328564780102,,7.0
2014-04-27 16:00:00,0.24571189679885327,4.273428571428571,13.717500000000001,,,,84.057,,,,1.0,-0.3333333333333333,1.0,31.083500027656527,,7.666666666666667
2014-04-28 16:00:00,0.005434782608695649,7.6026,9.693333333333335,,79.333,,,,,,1.0,-0.3333333333333333,1.0,25.600125014781955,1.0,7.0
2014-04-29 16:00:00,0.0360463132881611,8.612843137254902,43.50413636363637,105.12525,53.334,6.0225,12.843400000000003,,,,1.0,-0.5,,50.041275879432426,1.0,7.0
2014-04-30 16:00:00,0.0951142909270988,5.629222222222222,36.203,22.927999999999997,,,,,,,1.0,0.75,,133.85099999109892,,7.0
2014-05-01 16:00:00,0.11256572804560414,5.756114285714286,36.150400000000005,31.458,,,34.786249999999995,,,,1.0,,,37.96242860385352,1.0,7.25
2014-05-02 16:00:00,0.05,4.419666666666667,21.60766666666667,272.7896666666667,,,,124.535,,,,,,151.56442860194616,,
2014-05-03 16:00:00,0.04224286515953183,15.282962962962964,37.05594117647058,82.79166666666667,,,53.0554,,,,1.0,,,61.87633332499757,,
2014-05-04 16:00:00,0.06100834131545339,8.698511627906976,28.33811111111111,226.15325,29.127,15.073,58.85299999999999,,11.114,13.048,,,,78.23823808488386,,7.2
