,acc_phone_x,acc_phone_y,acc_phone_z,prox_phone_distance,gyr_phone_x,gyr_phone_y,gyr_phone_z,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z,press_phone_pressure,labelonLaptop,labelonTable
2020-06-05 12:21:33.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:34.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:35.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:36.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:37.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:38.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:39.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:40.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:41.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:42.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:43.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:44.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:45.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:46.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:47.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:48.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:49.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:50.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:51.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:52.753622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.003622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.253622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.503622912,,,,,,,,,,,,,0,0
2020-06-05 12:21:53.753622912,,,,,,,,,,,,,0,0
