,time,value
458921,2014-04-27 13:55:37.111,2.01
458923,2014-04-27 13:55:41.128,14.202
458927,2014-04-27 13:58:33.582,154.725
458931,2014-04-27 14:07:56.193,27.125
458944,2014-04-27 15:02:04.762,7.087999999999999
458946,2014-04-27 15:02:18.927,29.709
458947,2014-04-27 15:07:46.492,5.096
458955,2014-04-27 15:24:24.394,29.211
458960,2014-04-27 15:28:10.375,232.142
458961,2014-04-27 15:32:02.542,63.608000000000004
458974,2014-04-27 16:36:09.642,46.641999999999996
458981,2014-04-27 16:54:04.249,56.04
458986,2014-04-27 16:57:06.953,53.254
459008,2014-04-27 17:40:17.805,11.042
459039,2014-04-27 20:14:49.397,97.759
459040,2014-04-27 20:17:04.098,43.193999999999996
459041,2014-04-27 20:17:47.293,282.193
459067,2014-04-27 23:32:54.726,2.013
459148,2014-04-28 09:39:42.641,55.422
459198,2014-04-28 11:04:53.184,46.17
459230,2014-04-28 11:58:34.681,98.736
459232,2014-04-28 12:00:27.480,55.287
459233,2014-04-28 12:01:43.315,22.511999999999997
459234,2014-04-28 12:02:26.346,23.713
459235,2014-04-28 12:03:10.476,10.378
459236,2014-04-28 12:03:32.464,136.197
459240,2014-04-28 12:06:07.986,98.37299999999999
459246,2014-04-28 12:10:50.694,48.728
459247,2014-04-28 12:12:40.753,9.047
459273,2014-04-28 12:44:50.641,18.114
459339,2014-04-28 13:27:54.371,30.183000000000003
459350,2014-04-28 13:34:53.224,66.9
459391,2014-04-28 15:06:01.806,25.421
459392,2014-04-28 15:44:29.953,36.101
459469,2014-04-28 18:15:01.585,83.514
459474,2014-04-28 18:16:53.230,189.155
459477,2014-04-28 18:24:13.243,62.339
459489,2014-04-28 18:34:10.107,5.0169999999999995
459491,2014-04-28 18:35:11.299,4.013999999999999
459493,2014-04-28 18:39:37.592,6.0920000000000005
459498,2014-04-28 18:44:19.578,71.633
459502,2014-04-28 18:48:29.562,44.381
459520,2014-04-28 18:55:58.545,26.159000000000002
459526,2014-04-28 21:04:52.203,1.004
459528,2014-04-28 21:04:56.236,17.242
459535,2014-04-28 21:10:33.864,43.792
459536,2014-04-28 21:13:31.286,7.135
459540,2014-04-28 23:33:44.835,20.052
459543,2014-04-28 23:35:02.230,86.542
459544,2014-04-28 23:36:28.773,886.9860000000001
459545,2014-04-28 23:51:34.967,5.074
459599,2014-04-29 07:59:00.043,57.254
459627,2014-04-29 08:24:22.660,39.189
459628,2014-04-29 08:29:42.073,3.7910000000000004
459629,2014-04-29 08:32:32.721,8.042
459637,2014-04-29 08:50:10.961,32.111999999999995
459643,2014-04-29 09:02:25.328,24.168000000000003
459648,2014-04-29 09:06:15.135,69.982
