,actvalue,builtvalue,commvalue,entvalue,offvalue,othervalue,socialvalue,travelvalue,unkvalue,utilvalue,callvalue,arovalue,valvalue,scrvalue,smsvalue,labelvalue
2014-05-10 13:00:00,0.07275910364145664,10.882248366013073,20.929586206896552,,,9.066666666666668,47.52166666666666,,,,1.0,0.6,0.6,34.26619767311007,1.0,7.2
2014-05-11 13:00:00,0.07228057889822598,17.66382389937107,43.27723404255318,9.052,,7.705,88.20436000000001,35.2735,,,1.0,0.4,0.0,108.77488061207451,1.0,6.2
2014-05-12 13:00:00,0.06527936033170331,30.66704469273743,29.432831683168317,92.10625,,6.3473999999999995,85.02346341463414,,61.368,24.091,,0.0,0.4,88.60213831384128,,6.4
2014-05-13 13:00:00,0.10771533846500307,14.437200000000002,24.720585365853662,,,7.2814,67.12041176470588,,2.008,,,0.4,0.6,61.45509573500207,,7.0
2014-05-14 13:00:00,0.09060801671095792,35.02011650485437,46.080380000000005,40.643,,6.0752,129.54525,,,,1.0,0.0,0.0,72.04738596866004,1.0,6.0
2014-05-15 13:00:00,0.1410233965381024,9.9834375,66.8870895522388,62.04299999999999,,6.313,88.29492499999999,70.374,,24.071,,0.25,0.25,161.1356516955943,,6.5
2014-05-16 13:00:00,0.09501392948483746,18.382592814371257,30.017945945945947,31.930333333333333,,8.270666666666667,118.40934782608696,,,24.199,1.0,,,87.92302019909175,,7.5
2014-05-17 13:00:00,0.2527704831932772,6.419016949152542,34.133904761904766,135.9035,,8.2638,93.42515384615385,54.49800000000001,,,1.0,0.6,0.6,57.549263897869324,,7.4
2014-05-18 13:00:00,0.010816409897292248,10.599333333333334,41.88283333333333,87.06166666666667,,9.2848,113.9192820512821,,219.62650000000002,26.175,1.0,0.0,1.0,172.9609574307786,,7.2
2014-05-19 13:00:00,0.08504986033961608,7.442314516129033,35.31105172413793,51.644,,8.844,110.67391304347822,,51.963499999999996,,1.0,-0.4,0.8,132.82261905594467,,7.4
2014-05-20 13:00:00,0.15398284313725488,9.580779310344827,35.080684931506845,74.708,,7.507000000000001,152.7561333333333,106.591,,,1.0,0.0,1.0,123.28770422935492,,7.8
2014-05-21 13:00:00,0.11231934157843926,6.326482758620688,19.40241176470588,92.818,,7.34675,260.47950000000003,,,,1.0,0.0,0.5,64.64088679709523,,6.5
2014-05-22 13:00:00,0.14385504201680668,13.719465968586386,27.660729729729724,,,6.2696,80.86668181818182,,,24.179,1.0,-0.2,0.4,70.71757140788407,,6.6
2014-05-23 13:00:00,0.10752116708879571,14.372577319587627,33.620915966386555,,,7.457833333333333,67.14121951219514,27.2115,,,1.0,0.0,0.3333333333333333,80.17898148960538,,6.666666666666667
2014-05-24 13:00:00,0.1717075282597467,23.749556962025316,28.372945945945947,90.7295,,103.91916666666664,44.120615384615384,47.0038,,23.201,1.0,-0.4,1.0,78.87434020239058,,7.8
2014-05-25 13:00:00,0.06987420674484482,7.208894736842105,34.570523809523806,248.144,,9.083333333333334,135.7801923076923,,,,1.0,0.0,1.0,106.71346152012167,,7.5
2014-05-26 13:00:00,0.05599317898250745,14.966515151515154,33.015420289855065,70.90433333333334,,7.688799999999999,94.89164285714284,,,27.128,1.0,0.2,0.6,107.27426582046704,,6.8
2014-05-27 13:00:00,0.021959763780361786,24.352297520661153,77.51878571428571,80.3266,,9.511000000000001,99.70754347826086,68.4215,51.333,,,0.2,-0.2,165.06444644927973,,5.6
2014-05-28 13:00:00,0.12313248575292189,60.12188188976377,28.876833333333334,34.80725,,7.9856,106.95224,,,,1.0,0.4,0.0,99.67290770457336,,6.4
